time_id,shop_week,date_from,date_to,shop_date,shop_hour
0,200607,20060410,20060416,20060415,19
1,200607,20060410,20060416,20060413,20
2,200607,20060410,20060416,20060416,14
3,200607,20060410,20060416,20060412,19
4,200607,20060410,20060416,20060413,18
5,200607,20060410,20060416,20060414,14
6,200607,20060410,20060416,20060416,9
7,200607,20060410,20060416,20060416,11
8,200607,20060410,20060416,20060414,15
9,200607,20060410,20060416,20060411,11
10,200607,20060410,20060416,20060411,15
11,200607,20060410,20060416,20060412,14
12,200607,20060410,20060416,20060416,12
13,200607,20060410,20060416,20060410,18
14,200607,20060410,20060416,20060415,11
15,200607,20060410,20060416,20060414,12
16,200607,20060410,20060416,20060413,9
17,200607,20060410,20060416,20060414,9
18,200607,20060410,20060416,20060413,14
19,200607,20060410,20060416,20060412,21
20,200607,20060410,20060416,20060415,14
21,200607,20060410,20060416,20060414,13
22,200607,20060410,20060416,20060412,9
23,200607,20060410,20060416,20060413,10
24,200607,20060410,20060416,20060410,14
25,200607,20060410,20060416,20060416,10
26,200607,20060410,20060416,20060413,8
27,200607,20060410,20060416,20060416,17
28,200607,20060410,20060416,20060411,20
29,200607,20060410,20060416,20060415,13
30,200607,20060410,20060416,20060416,18
31,200607,20060410,20060416,20060415,15
32,200607,20060410,20060416,20060415,17
33,200607,20060410,20060416,20060410,9
34,200607,20060410,20060416,20060413,11
35,200607,20060410,20060416,20060415,21
36,200607,20060410,20060416,20060414,21
37,200607,20060410,20060416,20060416,19
38,200607,20060410,20060416,20060414,16
39,200607,20060410,20060416,20060413,16
40,200607,20060410,20060416,20060414,20
41,200607,20060410,20060416,20060411,21
42,200607,20060410,20060416,20060415,12
43,200607,20060410,20060416,20060412,11
44,200607,20060410,20060416,20060415,16
45,200607,20060410,20060416,20060412,20
46,200607,20060410,20060416,20060414,8
47,200607,20060410,20060416,20060413,21
48,200607,20060410,20060416,20060414,11
49,200607,20060410,20060416,20060411,8
50,200607,20060410,20060416,20060410,12
51,200607,20060410,20060416,20060412,18
52,200607,20060410,20060416,20060416,16
53,200607,20060410,20060416,20060411,12
54,200607,20060410,20060416,20060410,10
55,200607,20060410,20060416,20060410,21
56,200607,20060410,20060416,20060411,18
57,200607,20060410,20060416,20060412,10
58,200607,20060410,20060416,20060410,8
59,200607,20060410,20060416,20060416,13
60,200607,20060410,20060416,20060411,13
61,200607,20060410,20060416,20060412,12
62,200607,20060410,20060416,20060415,10
63,200607,20060410,20060416,20060412,8
64,200607,20060410,20060416,20060416,8
65,200607,20060410,20060416,20060413,13
66,200607,20060410,20060416,20060410,11
67,200607,20060410,20060416,20060411,17
68,200607,20060410,20060416,20060415,8
69,200607,20060410,20060416,20060414,19
70,200607,20060410,20060416,20060416,20
71,200607,20060410,20060416,20060414,10
72,200607,20060410,20060416,20060415,18
73,200607,20060410,20060416,20060412,13
74,200607,20060410,20060416,20060416,15
75,200607,20060410,20060416,20060415,20
76,200607,20060410,20060416,20060410,13
77,200607,20060410,20060416,20060413,15
78,200607,20060410,20060416,20060412,15
79,200607,20060410,20060416,20060415,9
80,200607,20060410,20060416,20060411,10
81,200607,20060410,20060416,20060414,18
82,200607,20060410,20060416,20060414,17
83,200607,20060410,20060416,20060410,20
84,200607,20060410,20060416,20060411,19
85,200607,20060410,20060416,20060411,14
86,200607,20060410,20060416,20060413,19
87,200607,20060410,20060416,20060412,16
88,200607,20060410,20060416,20060411,16
89,200607,20060410,20060416,20060413,12
90,200607,20060410,20060416,20060416,21
91,200607,20060410,20060416,20060413,17
92,200607,20060410,20060416,20060410,15
93,200607,20060410,20060416,20060410,16
94,200607,20060410,20060416,20060412,17
95,200607,20060410,20060416,20060410,19
